email;Age range;Salary bracket;Location;Contract type;Department;Seniority
leroux.adrien@hoolie.com;31 - 35;[38k€-45k€[;UK;Permanent contrat;Sales;1 - 3 years
guillot.georges@hoolie.com;-26;[60k€ et +[;UK;Fixed-term contract;Engineering;4 - 5 years
ssanchez@hoolie.com;31 - 35;[29k€-33k€[;Turkey;Intern;Cross-fonctionnal team;4 - 5 years
capucine.seguin@hoolie.com;40;[38k€-45k€[;India;Apprentice;Sales;-1 year
laetitia10@hoolie.com;31 - 35;[33k€-38k€[;Norway;Intern;Cross-fonctionnal team;4 - 5 years
capucine.fernandes@hoolie.com;40;[45k€-60k€[;USA;Permanent contrat;Cross-fonctionnal team;-1 year
louise.lopez@hoolie.com;-26;[38k€-45k€[;France;Permanent contrat;Operations;+ 5 years
bernadette.lesage@hoolie.com;40;[33k€-38k€[;UK;Apprentice;Operations;4 - 5 years
arthur.wagner@hoolie.com;26 - 30;[38k€-45k€[;Turkey;Apprentice;Operations;+ 5 years
jean.jacob@hoolie.com;-26;[45k€-60k€[;India;Permanent contrat;Cross-fonctionnal team;-1 year
eleroux@hoolie.com;-26;[29k€-33k€[;Turkey;Fixed-term contract;Engineering;-1 year
toussaint.julien@hoolie.com;-26;[60k€ et +[;Norway;Permanent contrat;Engineering;4 - 5 years
rocher.remy@hoolie.com;36 - 40;[60k€ et +[;France;Intern;Cross-fonctionnal team;4 - 5 years
suzanne26@hoolie.com;26 - 30;Less than 29k€;USA;Permanent contrat;Operations;+ 5 years
gerard.hamel@hoolie.com;36 - 40;[45k€-60k€[;USA;Intern;Operations;+ 5 years
francoise62@hoolie.com;-26;[33k€-38k€[;Turkey;Permanent contrat;Operations;4 - 5 years
peron.suzanne@hoolie.com;31 - 35;Less than 29k€;Turkey;Fixed-term contract;Sales;+ 5 years
emmanuelle92@hoolie.com;26 - 30;[38k€-45k€[;France;Fixed-term contract;Engineering;+ 5 years
pgilbert@hoolie.com;31 - 35;[29k€-33k€[;Singapore;Apprentice;Sales;4 - 5 years
mphilippe@hoolie.com;31 - 35;[38k€-45k€[;Belgium;Intern;Engineering;+ 5 years
omenard@hoolie.com;36 - 40;[60k€ et +[;France;Intern;Sales;4 - 5 years
sanchez.emmanuelle@hoolie.com;26 - 30;[29k€-33k€[;USA;Fixed-term contract;Operations;-1 year
gcourtois@hoolie.com;26 - 30;[45k€-60k€[;Turkey;Intern;Operations;+ 5 years
slesage@hoolie.com;31 - 35;[29k€-33k€[;Turkey;Fixed-term contract;Cross-fonctionnal team;1 - 3 years
adrien06@hoolie.com;26 - 30;[45k€-60k€[;China;Permanent contrat;Sales;-1 year
dominique50@hoolie.com;36 - 40;[38k€-45k€[;Russia;Permanent contrat;Cross-fonctionnal team;1 - 3 years
pereira.lucy@hoolie.com;31 - 35;[45k€-60k€[;Singapore;Apprentice;Engineering;1 - 3 years
vdelmas@hoolie.com;36 - 40;Less than 29k€;Singapore;Apprentice;Engineering;1 - 3 years
jblot@hoolie.com;31 - 35;[38k€-45k€[;Belgium;Apprentice;Operations;4 - 5 years
alfred89@hoolie.com;-26;[60k€ et +[;Turkey;Permanent contrat;Operations;-1 year
oceane.guillaume@hoolie.com;36 - 40;Less than 29k€;USA;Apprentice;Engineering;1 - 3 years
margaret69@hoolie.com;26 - 30;[60k€ et +[;Norway;Fixed-term contract;Sales;-1 year
astrid76@hoolie.com;31 - 35;[29k€-33k€[;UK;Apprentice;Engineering;-1 year
guillou.paulette@hoolie.com;31 - 35;[45k€-60k€[;France;Intern;Operations;1 - 3 years
suzanne.laine@hoolie.com;36 - 40;[29k€-33k€[;Spain;Permanent contrat;Cross-fonctionnal team;1 - 3 years
ferrand.georges@hoolie.com;-26;[33k€-38k€[;USA;Apprentice;Engineering;4 - 5 years
ldossantos@hoolie.com;-26;[60k€ et +[;Russia;Fixed-term contract;Sales;-1 year
dumas.marie@hoolie.com;40;Less than 29k€;Russia;Apprentice;Cross-fonctionnal team;-1 year
bferreira@hoolie.com;26 - 30;[45k€-60k€[;Turkey;Fixed-term contract;Sales;-1 year
margaret16@hoolie.com;-26;[60k€ et +[;Singapore;Apprentice;Cross-fonctionnal team;1 - 3 years
olivie.charrier@hoolie.com;36 - 40;[45k€-60k€[;Spain;Apprentice;Sales;1 - 3 years
ledoux.arnaude@hoolie.com;36 - 40;[29k€-33k€[;Croatia;Intern;Sales;+ 5 years
morin.eugene@hoolie.com;36 - 40;[33k€-38k€[;Norway;Fixed-term contract;Sales;-1 year
philippine.daniel@hoolie.com;36 - 40;[33k€-38k€[;Norway;Permanent contrat;Engineering;+ 5 years
margaud08@hoolie.com;36 - 40;[60k€ et +[;Croatia;Fixed-term contract;Operations;-1 year
michelle72@hoolie.com;36 - 40;[33k€-38k€[;France;Permanent contrat;Sales;+ 5 years
diane16@hoolie.com;-26;[60k€ et +[;France;Intern;Operations;-1 year
alain41@hoolie.com;31 - 35;[38k€-45k€[;Norway;Apprentice;Engineering;1 - 3 years
louise57@hoolie.com;26 - 30;Less than 29k€;China;Apprentice;Sales;1 - 3 years
constance.fleury@hoolie.com;40;[60k€ et +[;Singapore;Intern;Operations;-1 year
diaz.victoire@hoolie.com;-26;Less than 29k€;UK;Permanent contrat;Sales;4 - 5 years
alexandria.guichard@hoolie.com;-26;[33k€-38k€[;Croatia;Fixed-term contract;Operations;-1 year
elise.lopez@hoolie.com;36 - 40;[33k€-38k€[;Croatia;Permanent contrat;Sales;4 - 5 years
clambert@hoolie.com;36 - 40;[38k€-45k€[;China;Intern;Engineering;-1 year
gregoire18@hoolie.com;36 - 40;[45k€-60k€[;Norway;Apprentice;Operations;-1 year
francois.augustin@hoolie.com;36 - 40;Less than 29k€;Singapore;Permanent contrat;Engineering;-1 year
ines08@hoolie.com;31 - 35;[29k€-33k€[;Russia;Fixed-term contract;Cross-fonctionnal team;-1 year
honore.royer@hoolie.com;40;Less than 29k€;Belgium;Fixed-term contract;Engineering;4 - 5 years
marianne.renaud@hoolie.com;31 - 35;[38k€-45k€[;UK;Intern;Cross-fonctionnal team;1 - 3 years
leconte.vincent@hoolie.com;36 - 40;Less than 29k€;Russia;Permanent contrat;Engineering;-1 year
margot83@hoolie.com;-26;[33k€-38k€[;Norway;Apprentice;Sales;+ 5 years
daniel.denis@hoolie.com;40;[29k€-33k€[;Turkey;Intern;Sales;+ 5 years
emmanuel.descamps@hoolie.com;-26;[45k€-60k€[;China;Intern;Cross-fonctionnal team;+ 5 years
madeleine.remy@hoolie.com;36 - 40;[33k€-38k€[;Turkey;Fixed-term contract;Engineering;-1 year
charles.maillard@hoolie.com;40;[60k€ et +[;Russia;Intern;Cross-fonctionnal team;4 - 5 years
gilles57@hoolie.com;40;[29k€-33k€[;Norway;Intern;Cross-fonctionnal team;4 - 5 years
sdurand@hoolie.com;26 - 30;[45k€-60k€[;USA;Intern;Engineering;-1 year
olivier53@hoolie.com;36 - 40;[38k€-45k€[;Belgium;Permanent contrat;Sales;-1 year
allard.zacharie@hoolie.com;-26;Less than 29k€;USA;Permanent contrat;Operations;+ 5 years
teixeira.zoe@hoolie.com;-26;[29k€-33k€[;China;Intern;Operations;4 - 5 years
christiane.besnard@hoolie.com;36 - 40;Less than 29k€;UK;Fixed-term contract;Cross-fonctionnal team;+ 5 years
alain12@hoolie.com;40;[29k€-33k€[;China;Intern;Engineering;-1 year
hgauthier@hoolie.com;26 - 30;[60k€ et +[;UK;Apprentice;Engineering;-1 year
marion.cecile@hoolie.com;36 - 40;[45k€-60k€[;China;Intern;Operations;1 - 3 years
aimee46@hoolie.com;-26;[60k€ et +[;Singapore;Intern;Engineering;4 - 5 years
anais69@hoolie.com;40;[29k€-33k€[;UK;Apprentice;Cross-fonctionnal team;+ 5 years
charlotte.blin@hoolie.com;-26;[33k€-38k€[;Russia;Fixed-term contract;Engineering;4 - 5 years
mathilde.guillot@hoolie.com;31 - 35;Less than 29k€;Norway;Apprentice;Sales;-1 year
elodie.millet@hoolie.com;31 - 35;[38k€-45k€[;Croatia;Permanent contrat;Engineering;-1 year
remy.giraud@hoolie.com;36 - 40;[60k€ et +[;USA;Apprentice;Cross-fonctionnal team;+ 5 years
caron.alexandre@hoolie.com;31 - 35;[29k€-33k€[;Russia;Fixed-term contract;Cross-fonctionnal team;1 - 3 years
fabre.adrien@hoolie.com;26 - 30;[38k€-45k€[;Spain;Intern;Engineering;1 - 3 years
marc86@hoolie.com;40;[33k€-38k€[;Norway;Apprentice;Operations;4 - 5 years
launay.zacharie@hoolie.com;31 - 35;Less than 29k€;India;Intern;Engineering;-1 year
paul68@hoolie.com;31 - 35;[29k€-33k€[;Norway;Fixed-term contract;Sales;-1 year
raynaud.yves@hoolie.com;40;[60k€ et +[;Belgium;Permanent contrat;Engineering;-1 year
breton.laetitia@hoolie.com;31 - 35;[60k€ et +[;India;Fixed-term contract;Operations;4 - 5 years
alice64@hoolie.com;31 - 35;[60k€ et +[;USA;Fixed-term contract;Operations;4 - 5 years
benjamin64@hoolie.com;40;[29k€-33k€[;Turkey;Fixed-term contract;Cross-fonctionnal team;+ 5 years
martin.roussel@hoolie.com;40;[29k€-33k€[;India;Intern;Cross-fonctionnal team;-1 year
gregoire.couturier@hoolie.com;26 - 30;[29k€-33k€[;Russia;Fixed-term contract;Engineering;+ 5 years
josette22@hoolie.com;26 - 30;[29k€-33k€[;India;Fixed-term contract;Cross-fonctionnal team;-1 year
celine10@hoolie.com;40;[29k€-33k€[;Hungary;Permanent contrat;Cross-fonctionnal team;4 - 5 years
tristan.morin@hoolie.com;-26;[38k€-45k€[;France;Apprentice;Engineering;4 - 5 years
julien.marty@hoolie.com;36 - 40;Less than 29k€;Croatia;Fixed-term contract;Cross-fonctionnal team;-1 year
luc95@hoolie.com;31 - 35;Less than 29k€;France;Apprentice;Engineering;+ 5 years
hroche@hoolie.com;36 - 40;[45k€-60k€[;Croatia;Apprentice;Cross-fonctionnal team;-1 year
elaroche@hoolie.com;40;Less than 29k€;Belgium;Permanent contrat;Engineering;1 - 3 years
gerard.leveque@hoolie.com;26 - 30;[60k€ et +[;India;Intern;Cross-fonctionnal team;1 - 3 years
margaud41@hoolie.com;-26;[38k€-45k€[;France;Fixed-term contract;Engineering;+ 5 years
luce.valette@hoolie.com;36 - 40;[45k€-60k€[;USA;Intern;Operations;-1 year
etienne49@hoolie.com;-26;[60k€ et +[;Belgium;Intern;Sales;+ 5 years
agnes06@hoolie.com;26 - 30;Less than 29k€;Singapore;Permanent contrat;Sales;-1 year
ollivier.alfred@hoolie.com;26 - 30;[45k€-60k€[;Spain;Permanent contrat;Cross-fonctionnal team;+ 5 years
henri16@hoolie.com;-26;[29k€-33k€[;USA;Permanent contrat;Cross-fonctionnal team;1 - 3 years
robert.martins@hoolie.com;31 - 35;[38k€-45k€[;Hungary;Fixed-term contract;Operations;4 - 5 years
bouvier.claude@hoolie.com;40;[45k€-60k€[;India;Apprentice;Cross-fonctionnal team;-1 year
matthieu06@hoolie.com;26 - 30;[45k€-60k€[;Spain;Fixed-term contract;Operations;1 - 3 years
paul.gilbert@hoolie.com;-26;[29k€-33k€[;India;Intern;Engineering;4 - 5 years
bruneau.remy@hoolie.com;31 - 35;[60k€ et +[;Norway;Apprentice;Sales;4 - 5 years
robert51@hoolie.com;26 - 30;[29k€-33k€[;India;Fixed-term contract;Cross-fonctionnal team;+ 5 years
bertrand.nathalie@hoolie.com;31 - 35;Less than 29k€;Hungary;Intern;Sales;-1 year
francois.riviere@hoolie.com;26 - 30;[45k€-60k€[;Croatia;Apprentice;Sales;-1 year
nicolas46@hoolie.com;-26;[45k€-60k€[;Belgium;Intern;Operations;4 - 5 years
sophie.blot@hoolie.com;-26;[60k€ et +[;USA;Intern;Cross-fonctionnal team;4 - 5 years
dacosta.benjamin@hoolie.com;-26;Less than 29k€;China;Apprentice;Engineering;1 - 3 years
twagner@hoolie.com;-26;[38k€-45k€[;Russia;Permanent contrat;Sales;4 - 5 years
dguillot@hoolie.com;40;[60k€ et +[;Turkey;Fixed-term contract;Cross-fonctionnal team;-1 year
colin.augustin@hoolie.com;40;[33k€-38k€[;UK;Permanent contrat;Sales;+ 5 years
tdupuy@hoolie.com;31 - 35;[38k€-45k€[;Hungary;Fixed-term contract;Sales;+ 5 years
emmanuelle31@hoolie.com;26 - 30;[33k€-38k€[;Spain;Permanent contrat;Engineering;-1 year
paulette.royer@hoolie.com;-26;[60k€ et +[;UK;Intern;Engineering;1 - 3 years
michelle22@hoolie.com;-26;[45k€-60k€[;Hungary;Permanent contrat;Sales;-1 year
cecile27@hoolie.com;26 - 30;Less than 29k€;India;Intern;Operations;-1 year
dbegue@hoolie.com;31 - 35;Less than 29k€;Spain;Intern;Sales;1 - 3 years
isabelle81@hoolie.com;26 - 30;[38k€-45k€[;Norway;Intern;Cross-fonctionnal team;+ 5 years
francois.jean@hoolie.com;26 - 30;Less than 29k€;China;Intern;Cross-fonctionnal team;+ 5 years
oferreira@hoolie.com;-26;[38k€-45k€[;USA;Fixed-term contract;Cross-fonctionnal team;4 - 5 years
legoff.franck@hoolie.com;-26;[45k€-60k€[;Russia;Intern;Engineering;+ 5 years
